Vivado Simulator 2020.2
Time resolution is 1 ps
clk:0 floorBtn:0000 rst:1 door:1 floorSel:00
clk:1 floorBtn:0000 rst:1 door:1 floorSel:00
clk:0 floorBtn:0000 rst:1 door:1 floorSel:00
clk:1 floorBtn:0000 rst:1 door:1 floorSel:00
clk:0 floorBtn:0000 rst:1 door:1 floorSel:00
clk:1 floorBtn:0000 rst:1 door:1 floorSel:00
clk:0 floorBtn:0000 rst:1 door:1 floorSel:00
clk:1 floorBtn:0000 rst:1 door:1 floorSel:00
clk:0 floorBtn:0000 rst:1 door:1 floorSel:00
clk:1 floorBtn:0000 rst:1 door:1 floorSel:00
clk:0 floorBtn:0000 rst:1 door:1 floorSel:00
clk:1 floorBtn:0000 rst:1 door:1 floorSel:00
clk:0 floorBtn:0000 rst:1 door:1 floorSel:00
clk:1 floorBtn:0000 rst:1 door:1 floorSel:00
clk:0 floorBtn:0000 rst:1 door:1 floorSel:00
clk:1 floorBtn:0000 rst:1 door:1 floorSel:00
  floor one, door open
clk:0 floorBtn:0000 rst:0 door:1 floorSel:00
clk:1 floorBtn:0000 rst:0 door:1 floorSel:00
clk:0 floorBtn:0000 rst:0 door:1 floorSel:00
  press floor 2 button
clk:0 floorBtn:0010 rst:0 door:1 floorSel:00
clk:1 floorBtn:0010 rst:0 door:0 floorSel:00
clk:0 floorBtn:0010 rst:0 door:0 floorSel:00
clk:1 floorBtn:0010 rst:0 door:0 floorSel:01
clk:0 floorBtn:0000 rst:0 door:0 floorSel:01
clk:1 floorBtn:0000 rst:0 door:1 floorSel:01
clk:0 floorBtn:0000 rst:0 door:1 floorSel:01
clk:1 floorBtn:0000 rst:0 door:1 floorSel:01
  floor 2 to floor 3
clk:0 floorBtn:0100 rst:0 door:1 floorSel:01
clk:1 floorBtn:0100 rst:0 door:0 floorSel:01
clk:0 floorBtn:0000 rst:0 door:0 floorSel:01
clk:1 floorBtn:0000 rst:0 door:0 floorSel:10
clk:0 floorBtn:0000 rst:0 door:0 floorSel:10
clk:1 floorBtn:0000 rst:0 door:1 floorSel:10
clk:0 floorBtn:0000 rst:0 door:1 floorSel:10
clk:1 floorBtn:0000 rst:0 door:1 floorSel:10
  press floor 4 button
clk:0 floorBtn:1000 rst:0 door:1 floorSel:10
clk:1 floorBtn:1000 rst:0 door:0 floorSel:10
clk:0 floorBtn:0000 rst:0 door:0 floorSel:10
clk:1 floorBtn:0000 rst:0 door:0 floorSel:11
clk:0 floorBtn:0000 rst:0 door:0 floorSel:11
clk:1 floorBtn:0000 rst:0 door:1 floorSel:11
clk:0 floorBtn:0000 rst:0 door:1 floorSel:11
clk:1 floorBtn:0000 rst:0 door:1 floorSel:11
  press floor 4 button (already at 4)
clk:0 floorBtn:1000 rst:0 door:1 floorSel:11
clk:1 floorBtn:1000 rst:0 door:1 floorSel:11
clk:0 floorBtn:1000 rst:0 door:1 floorSel:11
clk:1 floorBtn:1000 rst:0 door:1 floorSel:11
clk:0 floorBtn:1000 rst:0 door:1 floorSel:11
clk:1 floorBtn:1000 rst:0 door:1 floorSel:11
clk:0 floorBtn:1000 rst:0 door:1 floorSel:11
clk:0 floorBtn:0000 rst:0 door:1 floorSel:11
clk:1 floorBtn:0000 rst:0 door:1 floorSel:11
clk:0 floorBtn:0000 rst:0 door:1 floorSel:11
clk:1 floorBtn:0000 rst:0 door:1 floorSel:11
  press floor 3 button
clk:0 floorBtn:0100 rst:0 door:1 floorSel:11
clk:1 floorBtn:0100 rst:0 door:0 floorSel:11
clk:0 floorBtn:0000 rst:0 door:0 floorSel:11
clk:1 floorBtn:0000 rst:0 door:0 floorSel:10
clk:0 floorBtn:0000 rst:0 door:0 floorSel:10
clk:1 floorBtn:0000 rst:0 door:1 floorSel:10
clk:0 floorBtn:0000 rst:0 door:1 floorSel:10
clk:1 floorBtn:0000 rst:0 door:1 floorSel:10
  press floor 2 button
clk:0 floorBtn:0010 rst:0 door:1 floorSel:10
clk:1 floorBtn:0010 rst:0 door:0 floorSel:10
clk:0 floorBtn:0000 rst:0 door:0 floorSel:10
clk:1 floorBtn:0000 rst:0 door:0 floorSel:01
clk:0 floorBtn:0000 rst:0 door:0 floorSel:01
clk:1 floorBtn:0000 rst:0 door:1 floorSel:01
clk:0 floorBtn:0000 rst:0 door:1 floorSel:01
clk:1 floorBtn:0000 rst:0 door:1 floorSel:01
  press floor 1 button
clk:0 floorBtn:0001 rst:0 door:1 floorSel:01
clk:1 floorBtn:0001 rst:0 door:0 floorSel:01
clk:0 floorBtn:0000 rst:0 door:0 floorSel:01
clk:1 floorBtn:0000 rst:0 door:0 floorSel:00
